Image_ID,Mask_ID,Facemask_ID,Maskexists,Masknotexists,Face_Coordinates,Image_Coordinates,Image_CategoryID,Riskmask_ID,Non_riskmaskID,FileID,Maskweidth,Maskheight,Imagewidth,Imageheight,Mask_Price,Encryption_Key,Encryption_Method_SSN,Masked_Social_Security_Number,Masked_Credi_Number,Masked_DOB,Privacy_Policy_Reference_Number,Masked_Medical_Record,Data_Masking_Entity
1,101,1800,FALSE,TRUE,1835,1826,112100,466,192262,471784,23,38,452,452,100,457,94107,648,94107,1760,1825.9,1145.2,471784
2,102,1960,FALSE,TRUE,1810,1806,234500,457,191792,443899,24,38,413,413,222,424,94114,406,94114,1763,1805.97,1207.6,443899
3,103,1845,TRUE,TRUE,1747,1767,170100,424,191050,407935,25,38,385,385,213,395,432,329,432,1740,1766.69,1199.85,407935
4,104,1750,FALSE,TRUE,1745,1749,102100,395,182902,383200,26,38,390,390,617,409,94103,753,94103,1735,1749.32,1143.8,383200
5,105,1705,FALSE,TRUE,1606,1622,62600,408,166188,366168,27,38,393,393,342,399,94612,574,94612,1605.6,1621.51,1161.4,366168
6,106,1650,FALSE,TRUE,1532,1582,64200,399,156991,362861,28,37,397,397,122,402,94041,824,94041,1478,1581.78,1106.55,362861
7,107,1522,FALSE,TRUE,1507,1519,91700,402,156123,127717,29,38,396,396,617,436,94104,653,94104,1410.05,1519.06,1126.35,127717
8,108,1471,FALSE,TRUE,1417,1443,32500,436,155753,323877,30,38,421,421,433,423,94612,399,94612,1386.65,1442.89,1125.1,323877
9,109,1400,FALSE,TRUE,1493,1441,48300,423,152212,311613,31,38,409,409,649,412,94107,345,94107,1361,1440.53,1174.95,311613
10,110,1475,FALSE,TRUE,1578,1517,30700,411,149760,304982,32,38,400,400,649,404,94108,363,94108,1470,1516.88,1146.4,304982
11,111,1670,FALSE,TRUE,1705,1678,82400,404,146122,229161,33,38,397,397,649,400,6775,685,6775,1605,1678.31,1190.3,229161
12,112,1700,FALSE,TRUE,1645,1664,110400,399,144259,249745,34,38,374,374,617,377,654,364,654,1615,1664.08,1285.55,249745
13,113,1710,FALSE,TRUE,1702,1700,89300,377,141586,249839,35,38,372,372,617,375,94583,399,94583,1650,1700.12,1294.65,249839
14,114,1709,FALSE,TRUE,1675,1709,103500,376,134307,252665,36,38,373,373,649,387,94105,657,94105,1666,1708.5,1272.55,252665
15,115,1750,FALSE,TRUE,1809,1779,47300,387,132603,256513,37,37,381,381,649,384,94041,771,94041,1730,1778.82,1252.9,256513
16,116,1954,FALSE,TRUE,1899,1938,102400,384,129917,261776,38,38,373,373,649,375,94066,544,94066,1877.5,1937.73,1242.55,261776
17,117,1875,FALSE,TRUE,1944,1921,131700,375,126993,264346,39,38,358,358,324,360,94109,329,94109,1821,1920.93,1212.1,264346
18,118,2085,FALSE,TRUE,1872,1992,201400,360,125370,282574,40,38,326,326,422,329,94103,399,94103,1847,1992.14,1218.6,282574
19,119,1900,FALSE,TRUE,1929,1915,311600,329,124267,294920,41,38,289,289,422,321,94110,458,94110,1855,1915.08,1187.3,294920
20,120,1980,FALSE,TRUE,1939,1967,317000,320,122777,0,42,38,303,303,389,330,94108,886,94108,1890,1967.01,1197.55,0
21,121,1970,FALSE,TRUE,2094,2066,201000,331,118474,298664,43,38,320,320,584,336,94103,517,94103,1950,2066.17,1175.3,298664
22,122,2262,FALSE,FALSE,2261,2260,65800,336,111313,299737,44,38,327,327,422,353,94107,666,94107,2211.6,2260.09,1146.25,299737
23,123,2280,FALSE,FALSE,2215,2230,160400,353,110352,303319,45,38,348,348,422,365,94080,376,94080,2149,2229.91,1068.95,303319
24,124,2260,FALSE,FALSE,2137,2149,60700,365,108734,304769,46,38,353,353,422,362,94588,570,94588,2105,2149.08,1059.25,304769
25,125,2110,FALSE,FALSE,2127,2131,790600,361,108552,140575,47,38,356,356,454,362,94133,499,94133,2091.05,2130.78,1018.1,140575
26,126,2121,FALSE,FALSE,2238,2177,434100,363,107404,137963,48,38,356,356,454,379,94108,582,94108,2102,2176.99,995.35,137963
27,127,2347,FALSE,FALSE,2160,2209,284200,378,105734,134050,49,38,369,369,519,390,94111,299,94111,2149,2209.35,962.5,134050
28,128,2249,FALSE,FALSE,2146,2157,214000,392,105008,353184,50,38,391,391,487,401,94103,459,94103,2126,2157.07,971.25,353184
29,129,2215,FALSE,FALSE,2097,2119,129700,401,103282,118148,51,38,389,389,454,395,94103,399,94103,2080,2119.02,955.4,118148
30,130,2135,FALSE,FALSE,2114,2114,236000,395,101005,107138,52,38,373,373,454,383,94104,456,94104,2062,2114.11,920.7,107138
31,131,2070,FALSE,FALSE,2032,2065,285600,383,99938,91131,53,38,375,375,454,384,94107,791,94107,2000,2064.86,895.45,91131
32,132,2095,FALSE,FALSE,2050,2070,205200,384,97484,88218,54,38,379,379,531,391,94102,499,94102,2029,2070.08,893.65,88218
33,133,2095,FALSE,FALSE,2214,2199,145600,391,97428,46085,55,37,386,386,422,390,94063,1233,94063,2095,2198.93,891.85,46085
34,134,2391,FALSE,FALSE,2391,2391,101900,389,96779,214635,56,38,378,378,422,383,94105,517,94105,2391.35,2391.35,893.2,214635
35,135,2547,FALSE,FALSE,2583,2524,119100,382,96713,210798,57,38,381,381,357,386,94403,376,94403,2410,2523.93,837.85,210798
36,136,2570,FALSE,FALSE,2674,2651,185300,386,96480,205518,58,38,382,382,357,383,94111,499,94111,2475,2651.25,860.45,205518
37,137,2760,FALSE,FALSE,2585,2659,100300,383,90708,201127,59,38,356,356,487,358,94107,666,94107,2551.05,2659.17,847.8,201127
38,138,2625,FALSE,FALSE,2767,2672,247000,359,89949,197029,60,38,353,353,487,358,94104,487,94104,2550,2672.03,858.85,197029
